ID,port,lon,lat,range,code,harbour,EID,X,Y
1,ADA,-176.65,51.883,3,1,ADA,1,-300516.6685,5812447.387
2,ADA2,-176.095,51.982,3,-99,ADA2,2,-260810.4632,5817391.212
3,AKU,-165.767,54.133,3,10,AKU,3,449884.3642,5998591.312
4,ALI,-154.1456,57.0285,3,2,ALI,4,1157253.282,6373038.547
5,ANA,-122.611,48.513,3,-99,ANA,5,3571066.441,6304286.764
6,ANC,-149.883,61.217,3,70,ANC,6,1306905.143,6881053.413
7,ANG,-134.583,57.5,3,57,ANG,7,2283406.126,6787635.973
8,ANI,-159.517,61.567,3,72,ANI,8,791008.7504,6838203.29
9,ANV,-160.2,62.65,3,58,ANV,9,745872.05,6955749.64
10,AST,-123.83,46.188,3,-99,AST,10,3644220.422,6005470.53
11,ATK,-174.201,52.196,3,21,ATK,11,-128211.0231,5822843.798
12,BEL,-122.47,48.744,3,20,BEL,12,3564355.199,6334531.681
13,BET,-161.75,60.783,3,59,BET,13,676927.1276,6742998.576
14,BLA,-122.746,48.994,3,-99,BLA,14,3528002.472,6347201.24
15,CHG,-158.4,56.3,3,22,CHG,15,908084.9885,6259058.934
16,CPT,-158.551,58.844,3,-99,CPT,16,871818.3693,6540617.698
17,COR,-145.75,60.55,3,11,COR,17,1545321.268,6867740.995
18,CRG,-133.15,55.467,3,23,CRG,18,2471920.655,6618203.435
19,DIL,-158.45,59.033,3,24,DIL,19,875566.1966,6562164.705
20,DUT,-166.533,53.883,3,3,DUT,20,399234.646,5971593.385
21,EGE,-157.367,58.217,3,25,EGE,21,947854.832,6478286.939
22,EKU,-158.55,58.817,3,69,EKU,22,872165.8649,6537625.766
23,ELF,-136.333,58.183,3,66,ELF,23,2152231.295,6812078.072
24,EMM,-164.533,62.783,3,53,EMM,24,523830.0019,6961498.448
25,XIP,-135.433,58.417,3,26,XIP,25,2189994.623,6859806.444
26,FBK,-147.717,64.833,3,77,FBK,26,1312053.255,7301848.725
27,FSP,-163.415,54.851,3,27,FSP,27,601761.1333,6079362.057
28,GAL,-156.933,64.733,3,78,GAL,28,883396.7507,7203161.789
29,GLN,-145.55,62.117,3,80,GLN,29,1503618.955,7039891.966
30,GUS,-135.733,58.4,3,28,GUS,30,2174490.894,6850183.404
31,HNS,-135.433,59.233,3,29,HNS,31,2148943.808,6944348.245
32,HOM,-151.424,59.607,3,12,HOM,32,1262653.137,6686137.757
33,HNH,-135.433,58.1,3,30,HNH,33,2205881.497,6826891.117
34,HYD,-132.817,55.2,3,81,HYD,34,2505890.879,6600632.811
35,JNU,-134.3,58.167,3,4,JNU,35,2264520.262,6864439.897
36,KAK,-133.933,56.967,3,82,KAK,36,2347558.054,6750690.826
37,KAL,-158.717,64.333,3,83,KAL,37,803271.8186,7149130.311
38,KAS,-151.283,60.383,3,32,KAS,38,1252498.107,6772935.404
39,KEN,-151.267,60.55,3,33,KEN,39,1249471.698,6791438.929
40,KTN,-131.633,55.333,3,13,KTN,40,2568530.679,6651409.034
41,KCO,-162.3208,55.05777,3,5,KCO,41,671116.7352,6104500.594
42,KNG,-156.65,58.683,3,67,KNG,42,983336.9767,6534925.392
43,KIP,-164.041,59.939,3,50,KIP,43,553587.9931,6645005.952
44,KLA,-133.083,55.55,3,52,KLA,44,2471447.818,6628841.637
45,KOD,-152.4119,57.77901,3,14,KOD,45,1246015.777,6473878.603
46,KOD2,-152.5228,57.73213,3,-999,KOD2,46,1240456.529,6467486.819
47,KOT,-162.583,66.9,3,85,KOT,47,605798.0706,7422285.458
48,LAC,-122.495,48.389,3,-99,LAC,48,3587773.676,6297023.197
49,LRB,-153.9784,57.54056,3,-99,LRB,49,1158057.509,6431227.307
50,LZB,-154.2478,56.89861,3,-99,LZB,50,1153380.443,6357699.301
51,MET,-131.567,55.117,3,35,MET,51,2584488.544,6631257.675
52,NAK,-157.2,58.717,3,36,NAK,52,951153.9322,6534847.53
53,NEN,-149.083,64.567,3,87,NEN,53,1256459.86,7255932.656
54,NPT,-124.052,44.637,3,-99,NPT,54,3730364.125,5830103.757
55,NIK,-151.289,60.69,3,68,NIK,55,1245018.465,6806542.622
56,NIN,-151.667,60.05,3,54,NIN,56,1239157.576,6732005.492
57,NOM,-165.417,64.5,3,37,NOM,57,479968.9859,7152798.257
58,NUL,-158.1,64.717,3,-99,NUL,58,828313.5695,7194820.296
59,NUN,-166.211,60.095,3,88,NUN,59,432649.4994,6662608.225
60,OLD,-153.2842,57.21222,3,51,OLD,60,1205588.524,6401993.463
61,OLY,-122.899,47.038,3,-99,OLY,61,3653984.875,6138309.042
62,PEL,-136.217,57.95,3,89,PEL,62,2169963.028,6790743.789
63,PBG,-132.967,56.8,3,38,PBG,63,2411065.538,6761553.56
64,PAL,-133.633,56.25,3,90,PAL,64,2402319.025,6685076.951
65,PTB,-153.0444,57.931,3,92,PTB,65,1205775.615,6483784.027
66,GRM,-151.83,59.351,3,93,GRM,66,1245722.417,6653367.683
67,MOL,-160.577,55.989,3,95,MOL,67,775828.5652,6213687.606
68,PTP,-133.598,56.317,3,96,PTP,68,2400810.586,6693048.219
69,POR,-122.675,45.524,3,-99,POR,69,3775109.729,5990246.932
70,STM,-163.166,62.053,3,102,STM,70,595883.8527,6881440.218
71,SPT,-160.5032,55.33342,3,6,SPT,71,785160.019,6141106.605
72,SAV,-170.479,63.694,3,40,SAV,72,229334.3944,7074530.009
73,SEA,-122.217,47.7,3,15,SEA,73,3655856.684,6239404.73
74,SWK,-160,66.6,3,98,SWK,74,721396.0324,7395663.487
75,SEL,-151.7,59.433,3,99,SEL,75,1251184.968,6663854.026
76,SEW,-149.45,60.117,3,7,SEW,76,1358842.672,6766427.935
77,SIT,-135.333,57.05,3,16,SIT,77,2263939.026,6720283.551
78,SKG,-135.3,59.45,3,100,SKG,78,2144986.17,6970214.757
79,SOL,-151.05,60.483,3,39,SOL,79,1262778.989,6786607.723
80,SNK,-156.998,58.716,3,-99,SNK,80,962816.0278,6536118.278
81,TAC,-122.443,47.253,3,19,TAC,81,3671505,6182372.405
82,TEN,-135.217,57.767,3,104,TEN,82,2234534.76,6798057.747
83,TOG,-160.4,59.067,3,41,TOG,83,763633.3046,6556597.718
84,TOK,-142.983,63.333,3,-99,TOK,84,1585886.097,7212407.562
85,TSK,-165.103,60.53,3,46,TSK,85,494347.0407,6710442.884
86,IFP,-166.3193,53.73333,-99,-99,IFP,86,412971.0334,5954660.414
87,UGA,-157.383,57.5,3,105,UGA,87,955922.472,6398664.917
88,UNA,-160.783,63.867,3,106,UNA,88,707127.8956,7089041.197
89,VAL,-146.267,61.117,3,42,VAL,89,1499646.748,6920804.138
90,VAN,-122.66,45.639,3,-99,VAN,90,3768282.821,6003114.922
91,WAS,-149.433,61.567,3,-99,WAS,91,1321260.894,6924939.117
92,WHT,-148.683,60.767,3,43,WHT,92,1382577.441,6847608.482
93,WRN,-132.367,56.467,3,44,WRN,93,2463250.556,6745282.763
94,YAK,-139.733,59.55,3,9,YAK,94,1904776.395,6875031.352
95,CDB,-162.694,55.207,3,-99,CDB,95,646737.2369,6120252.078
96,YAN,-157.1346,56.79899,3,-99,YAN,96,979772.3143,6322635.416
97,TOG2,-160.353,58.94,3,-99,TOG2,97,767307.9775,6542664.737
98,STP,-170.285,57.125,3,8,STP,98,180211.3001,6343701.33
99,PTL,-152.7663,57.8652,3,-99,PTL,99,1223413.762,6479493.824
100,SDB,-160.4564139,55.52205556,3,-99,SDB,100,786752.6194,6162268.478
101,SNK,-161.5121667,54.40620278,3,-99,SNK,101,726349.2906,6034322.647
